Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/19/14,walking,walking,2014-09-19T08:37:45-07:00,2014-09-19T08:38:15-07:00,30,0.009,20,0
9/19/14,walking,walking,2014-09-19T10:51:58-07:00,2014-09-19T10:54:31-07:00,153,0.092,296,0
9/19/14,transport,transport,2014-09-19T10:54:31-07:00,2014-09-19T11:02:58-07:00,507,1.685,0,0
9/19/14,walking,walking,2014-09-19T11:38:21-07:00,2014-09-19T11:54:39-07:00,978,0.697,1663,0
9/19/14,walking,walking,2014-09-19T12:49:26-07:00,2014-09-19T13:03:51-07:00,865,0.729,1041,0
9/19/14,walking,walking,2014-09-19T13:05:27-07:00,2014-09-19T13:06:27-07:00,60,0.019,60,0
9/19/14,walking,walking,2014-09-19T13:15:23-07:00,2014-09-19T13:20:36-07:00,313,0.233,241,0
9/19/14,walking,walking,2014-09-19T13:25:45-07:00,2014-09-19T13:29:20-07:00,215,0.154,331,0
9/19/14,walking,walking,2014-09-19T15:06:44-07:00,2014-09-19T15:11:37-07:00,293,0.199,428,0
9/19/14,walking,walking,2014-09-19T16:29:13-07:00,2014-09-19T16:32:29-07:00,196,0.091,193,0
9/19/14,walking,walking,2014-09-19T16:56:44-07:00,2014-09-19T16:59:25-07:00,161,0.106,233,0
9/19/14,transport,transport,2014-09-19T16:59:25-07:00,2014-09-19T17:08:32-07:00,547,1.726,0,0
9/19/14,walking,walking,2014-09-19T17:09:26-07:00,2014-09-19T17:09:56-07:00,30,0.016,50,0
9/19/14,walking,walking,2014-09-19T19:45:00-07:00,2014-09-19T19:45:36-07:00,36,0.017,56,0
9/19/14,walking,walking,2014-09-19T20:12:16-07:00,2014-09-19T20:12:47-07:00,31,0.011,33,0
9/20/14,walking,walking,2014-09-20T15:39:32-07:00,2014-09-20T15:40:32-07:00,60,0.037,120,0
9/20/14,transport,transport,2014-09-20T15:41:49-07:00,2014-09-20T15:44:02-07:00,133,0.813,0,0
9/20/14,walking,walking,2014-09-20T15:44:02-07:00,2014-09-20T15:46:40-07:00,158,0.052,169,0
9/20/14,walking,walking,2014-09-20T15:48:03-07:00,2014-09-20T15:51:57-07:00,234,0.130,280,0
9/20/14,transport,transport,2014-09-20T15:56:40-07:00,2014-09-20T15:59:10-07:00,150,0.992,0,0
9/20/14,walking,walking,2014-09-20T15:59:51-07:00,2014-09-20T16:02:00-07:00,129,0.063,138,0
9/20/14,walking,walking,2014-09-20T17:07:36-07:00,2014-09-20T17:09:42-07:00,126,0.039,126,0
9/20/14,transport,transport,2014-09-20T17:09:42-07:00,2014-09-20T18:10:55-07:00,3673,42.612,0,0
9/20/14,walking,walking,2014-09-20T19:22:06-07:00,2014-09-20T19:24:06-07:00,120,0.073,156,0
9/20/14,transport,transport,2014-09-20T19:30:51-07:00,2014-09-20T19:58:32-07:00,1661,19.661,0,0
9/20/14,transport,transport,2014-09-20T20:02:42-07:00,2014-09-20T20:05:59-07:00,197,2.311,0,0
9/20/14,transport,transport,2014-09-20T20:10:04-07:00,2014-09-20T21:01:24-07:00,3080,44.086,0,0
9/20/14,walking,walking,2014-09-20T21:19:51-07:00,2014-09-20T21:22:10-07:00,139,0.083,178,0
9/20/14,transport,transport,2014-09-20T21:47:46-07:00,2014-09-20T21:51:56-07:00,250,1.962,0,0
9/20/14,walking,walking,2014-09-20T22:36:07-07:00,2014-09-20T22:36:37-07:00,30,0.016,50,0
