Date,Type,Name,Start,End,Duration
9/24/14,move,transport,2014-09-24T18:34:47-07:00,2014-09-24T18:44:47-07:00,600
9/24/14,place,Place in Pima County,2014-09-24T18:44:47-07:00,2014-09-24T19:00:41-07:00,954
9/24/14,move,transport,2014-09-24T19:00:41-07:00,2014-09-24T19:09:51-07:00,550
9/24/14,place,Place in Rincon Heights,2014-09-24T19:09:52-07:00,2014-09-24T20:16:23-07:00,3991
9/24/14,move,transport,2014-09-24T20:16:23-07:00,2014-09-24T20:23:57-07:00,454
9/24/14,place,Place in Pima County,2014-09-24T20:23:58-07:00,2014-09-24T21:41:00-07:00,4622
9/24/14,move,transport,2014-09-24T21:41:01-07:00,2014-09-24T21:43:47-07:00,166
9/24/14,place,Place in Rincon Heights,2014-09-24T21:43:47-07:00,2014-09-25T00:00:00-07:00,8173
9/25/14,place,Place in Rincon Heights,2014-09-25T00:00:00-07:00,2014-09-25T09:00:55-07:00,32455
9/25/14,move,transport,2014-09-25T09:00:55-07:00,2014-09-25T09:05:40-07:00,285
9/25/14,move,walking,2014-09-25T09:05:40-07:00,2014-09-25T09:09:06-07:00,206
9/25/14,place,Place in El Presidio,2014-09-25T09:09:06-07:00,2014-09-25T12:56:42-07:00,13656
9/25/14,move,transport,2014-09-25T12:56:42-07:00,2014-09-25T13:03:05-07:00,383
9/25/14,place,Place in Rincon Heights,2014-09-25T13:03:05-07:00,2014-09-25T14:14:51-07:00,4306
9/25/14,move,walking,2014-09-25T14:14:51-07:00,2014-09-25T14:29:24-07:00,873
9/25/14,place,Place in Rincon Heights,2014-09-25T14:29:24-07:00,2014-09-25T15:09:43-07:00,2419
9/25/14,move,walking,2014-09-25T15:09:43-07:00,2014-09-25T15:12:22-07:00,159
9/25/14,place,Place in Rincon Heights,2014-09-25T15:12:22-07:00,2014-09-25T15:12:26-07:00,4
9/25/14,move,walking,2014-09-25T15:12:26-07:00,2014-09-25T15:24:16-07:00,710
9/25/14,place,Place in Rincon Heights,2014-09-25T15:24:16-07:00,2014-09-25T16:51:28-07:00,5232
9/25/14,move,walking,2014-09-25T16:51:28-07:00,2014-09-25T16:57:37-07:00,369
